energy,intensity,InitialState,FinalState,alpha,Hf,gamma
639.62,0.033,2017.309_214PO,1377.678_214PO,0.0183,0.000,1
649.22,0.057,2192.537_214PO,1543.372_214PO,0.041,0.000,1
651.50,0.002,2662.310_214PO,2010.830_214PO,0,0.000,1
657.18,0.3234,1997.730_206PB,1340.540_206PB,0.05,0.000,1
658.70,0.014,2423.230_214PO,1764.515_214PO,0,0.000,1
660.94,0.053,2204.089_214PO,1543.372_214PO,0.039,0.000,1
665.45,1.5313,1274.766_214PO,609.316_214PO,0.00579,0.000,1
670.00,45.9,0.000_214PB,351.932_214BI,0,1608.0,0
677.41,0.006,2694.620_214PO,2017.309_214PO,0,0.000,1
683.23,0.082,2447.702_214PO,1764.515_214PO,0.00551,0.000,1
687.60,0.0065,2698.760_214PO,2010.830_214PO,0,0.000,1
693.30,0.0056,2423.230_214PO,1729.609_214PO,0,0.000,1
697.93,0.067,1712.970_214PO,1015.039_214PO,0.034,0.000,1
699.82,0.016,2694.620_214PO,1994.640_214PO,0,0.000,1
703.11,0.4721,2118.533_214PO,1415.495_214PO,0.0519,0.000,1
704.96,0.047,2447.702_214PO,1742.980_214PO,0.00519,0.000,1
708.87,0.0121,2719.270_214PO,2010.830_214PO,0,0.000,1
710.30,0.0,2423.230_214PO,1712.970_214PO,0,0.000,1
710.71,0.074,2088.440_214PO,1377.678_214PO,0,0.000,1
719.87,0.3921,1994.640_214PO,1274.766_214PO,0.01424,0.000,1
723.08,0.037,2266.410_214PO,1543.372_214PO,0.0141,0.000,1
733.81,0.041,2728.609_214PO,1994.640_214PO,0,0.000,1
740.76,0.043,2118.533_214PO,1377.678_214PO,0.029,0.000,1
752.85,0.128,2482.468_214PO,1729.609_214PO,0.028,0.000,1
768.36,4.895,1377.678_214PO,609.316_214PO,0.0157,0.000,1
769.70,0.03,2147.830_214PO,1377.678_214PO,0,0.000,1
785.96,1.06,839.009_214BI,53.228_214BI,0.00406,0.000,1
786.35,0.3201,2447.702_214PO,1661.279_214PO,0.00422,0.000,1
788.60,0.013,2204.089_214PO,1415.495_214PO,0.0385,0.000,1
799.70,0.0104,799.700_210PB,0.000_210PB,0.01052,0.000,1
803.06,98.0,803.060_206PB,0.000_206PB,0.01033,0.000,1
803.06,0.001,803.049_206PB,0.000_206PB,0.01033,1.000e-09,1
806.18,1.2643,1415.495_214PO,609.316_214PO,0.01127,9.900e-11,1
814.96,0.039,2192.537_214PO,1377.678_214PO,0.023,0.000,1
821.18,0.161,2482.468_214PO,1661.279_214PO,0.0346,0.000,1
826.45,0.117,2204.089_214PO,1377.678_214PO,0.0341,0.000,1
832.36,0.028,1847.443_214PO,1015.039_214PO,0.01057,0.000,1
839.07,0.583,839.009_214BI,0.000_214BI,0.00359,0.000,1
840.40,0.01,2604.680_214PO,1764.515_214PO,0,0.000,1
847.16,0.024,2694.620_214PO,1847.443_214PO,0,0.000,1
866.00,0.0,2630.860_214PO,1764.515_214PO,0,0.000,1
873.06,0.018,2147.830_214PO,1274.766_214PO,0,0.000,1
878.03,0.012,2293.358_214PO,1415.495_214PO,0.019,0.000,1
